Replace,WordStr
baidu,百度
google,谷歌
qq游戏,腾讯qq游戏
seo,搜索引擎优化
一、,1、
一一,逐一
一一,逐个
一下子,一会儿
一丘之貉,全无分别
一丘之貉,半斤八两
一丘之貉,难兄难弟
一丝不动,纹丝不动
一个钱打二十四个结,精打细算
一举两得,一箭双雕
一举成名,一鸣惊人
一举而竟全功,毕其功于一役
一乾二净,六根清净
一了百了,依然如故
一五一十,如数家珍
一人传虚;万人传实,道听途说
一人得道,鸡犬升天
一代风流,遗臭万年
一位,一名
一再,几回再三
一刀两断,快刀斩乱麻
一刀两断,薪尽火灭
一劳永逸,与日俱增
一口咬定,矢口不移
一古脑儿,一股脑儿
一叶知秋,尝鼎一
一名,一位
一向,一贯
一呼百应,一呼百诺
一呼百诺,前呼后拥
一命呜呼,与世长辞
一唱一和,遥相呼应
一块儿,一起
一塌糊涂,乌烟瘴气
一壁,一面
一声不响,一言不发
一如既往,自始自终
一孔之见,一知半解
一定,必定
一定,必然
一寸光阴一寸金,一刻千金
一尘不染,一乾二净
一尘不染,一干二净
一尘不染,明哲保身
一帆风顺,好事多磨
一帆风顺,风平浪静
一干二净,一尘不染
一张一弛,以逸待劳
一往无前,勇往直前
一往直前,百折不回
一律,一概
一得之愚,一孔之见
一心,专心
一意孤行,独断专行
一意孤行,独行其是
一成不变,原封不动
一扫而光,一扫而空
一扫而光,一网打尽
一扫而空,一网打尽
一技之长,一无所长
一拥而上,蜂拥而上
一拥而上,蜂拥而至
一挥而就,一蹴而就
一掷千金,挥金如土
一无可取,一无是处
一无所取,一无是处
一无所得,一无所获
一无所知,一窍不通
一无所知,全无所闻
一无所获,一无所得
一无是处,一无可取
一无长物,别无长物
一日三餐,每日三餐
一日千里,进步神速
一时哄动,哄传一时
一晚上,一夜
一望无际,一马平川
一本正经,道貌岸然
一板一眼,有板有眼
一枕黄粱,南柯一梦
一枝独秀,桂林一枝
一样平常,一般
一样平常,日常
一概而论,混为一谈
一槌定音,一锤定音
一模一样,如出一辙
一步登天,平步青云
一毛不拔,爱财如命
一气呵成,趁热打铁
一泻千里,一落千丈
一清二楚,一览无余
一点不错,分毫不爽
一生,平生
一生,终身
一男半女,寸男尺女
一目了然,了如指掌
一目十行,目下十行
一直,一向
一直,不断
一相情愿,两相情愿
一矢之地,弹丸之地
一石二鸟,一举两得
一穷二白,一贫如洗
一窍不通,一无所知
一笑置之,付之一笑
一筹莫展,束手无策
一箭双雕,一举两得
一箭双鵰,两全其美
一统天下,金瓯无缺
一网打尽,一扫而光
一股脑儿,一古脑儿
一臂之力,落井下石
一致,一至
